player_id,name,overall,position,secondary_positions,age,nationality,club,league,preferred_foot,pace,shooting,passing,dribbling,defending,physical,image_url,auction_group,rating_tier,base_price_cr
239818,Rúben Dias,89,CB,,26,Portugal,Manchester City,Premier League,Right,62,39,66,69,89,87,,DEF,PREMIUM,4
203376,V. van Dijk,89,CB,,31,Netherlands,Liverpool,Premier League,Right,78,60,71,72,89,86,,DEF,PREMIUM,4
207865,Marquinhos,87,CB,,29,Brazil,Paris Saint Germain,Ligue 1,Right,78,56,75,74,89,80,,DEF,PREMIUM,4
216267,A. Robertson,86,LB,,29,Scotland,Liverpool,Premier League,Left,80,61,82,81,81,77,,DEF,STRONG,3
210514,João Cancelo,86,LB,RB,29,Portugal,FC Barcelona,La Liga,Right,81,73,85,84,80,72,,DEF,STRONG,3
235243,M. de Ligt,86,CB,,23,Netherlands,FC Bayern München,Bundesliga,Right,66,61,64,68,85,86,,DEF,STRONG,3
253163,R. Araujo,86,CB,RB,24,Uruguay,FC Barcelona,La Liga,Right,79,51,65,62,86,84,,DEF,STRONG,3
231281,T. Alexander-Arnold,86,RB,,24,England,Liverpool,Premier League,Right,76,69,90,79,80,73,,DEF,STRONG,3
240130,Éder Militão,86,CB,,25,Brazil,Real Madrid,La Liga,Right,85,50,69,71,86,82,,DEF,STRONG,3
237383,A. Bastoni,85,CB,,24,Italy,Inter,Serie A,Left,73,35,72,73,86,83,,DEF,STRONG,3
212218,A. Laporte,85,CB,,29,Spain,Al Nassr,Pro League,Left,61,50,73,69,86,78,,DEF,STRONG,3
205452,A. Rüdiger,85,CB,,30,Germany,Real Madrid,La Liga,Right,82,54,71,66,84,86,,DEF,STRONG,3
197445,D. Alaba,85,CB,LB,31,Austria,Real Madrid,La Liga,Left,79,71,83,80,85,77,,DEF,STRONG,3
217870,G. Di Lorenzo,85,RB,,29,Italy,Napoli,Serie A,Right,85,67,75,79,82,82,,DEF,STRONG,3
241486,J. Koundé,85,CB,RB,24,France,FC Barcelona,La Liga,Right,84,45,68,75,86,80,,DEF,STRONG,3
203574,J. Stones,85,CB,RB,29,England,Manchester City,Premier League,Right,72,52,75,77,85,77,,DEF,STRONG,3
186345,K. Trippier,85,RB,,32,England,Newcastle United,Premier League,Right,68,65,86,79,82,72,,DEF,STRONG,3
224334,M. Acuña,85,LB,LM,31,Argentina,Sevilla,La Liga,Left,75,74,83,83,81,84,,DEF,STRONG,3
201535,R. Varane,85,CB,,30,France,Manchester United,Premier League,Right,79,49,64,67,86,78,,DEF,STRONG,3
232656,T. Hernández,85,LB,LM,25,France,Milan,Serie A,Left,93,71,76,81,78,84,,DEF,STRONG,3
235212,A. Hakimi,84,RB,RWB,24,Morocco,Paris Saint Germain,Ligue 1,Right,92,75,80,80,75,78,,DEF,STRONG,3
239580,Bremer,84,CB,,26,Brazil,Juventus,Serie A,Right,80,50,56,65,85,83,,DEF,STRONG,3
189881,C. Smalling,84,CB,,33,England,Roma,Serie A,Right,62,47,58,62,87,82,,DEF,STRONG,3
232756,F. Tomori,84,CB,,25,England,Milan,Serie A,Right,86,40,59,66,86,82,,DEF,STRONG,3
232580,Gabriel,84,CB,,25,Brazil,Arsenal,Premier League,Left,70,41,62,60,85,82,,DEF,STRONG,3
210035,Grimaldo,84,LWB,LM,27,Spain,Bayer 04 Leverkusen,Bundesliga,Left,87,69,83,84,76,72,,DEF,STRONG,3
201024,K. Koulibaly,84,CB,,32,Senegal,Al Hilal,Pro League,Right,76,48,63,68,84,83,,DEF,STRONG,3
188377,K. Walker,84,RB,,33,England,Manchester City,Premier League,Right,90,63,77,78,79,81,,DEF,STRONG,3
237086,Kim Min Jae,84,CB,,26,Korea Republic,FC Bayern München,Bundesliga,Right,80,33,58,64,85,84,,DEF,STRONG,3
220814,L. Hernández,84,CB,LB,27,France,Paris Saint Germain,Ligue 1,Left,76,54,70,70,84,78,,DEF,STRONG,3
