player_id,name,overall,primary_position,secondary_positions,auction_category,age,nationality,club,league,preferred_foot,pace,shooting,passing,dribbling,defending,physical,image_url,tier,source,source_fifa_version,source_record_kind
216547,Rafa,83,CF,RM,ATT,30,Portugal,Benfica,Liga Portugal,Right,93,77,77,86,50,54,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
183898,Á. Di María,83,CF,"RW,RM",ATT,35,Argentina,Benfica,Liga Portugal,Left,78,78,86,89,48,67,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
199482,A. Lopes,82,GK,,GK,32,Portugal,Olympique Lyonnais,Ligue 1,Left,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
241671,D. Livaković,82,GK,,GK,28,Croatia,Fenerbahçe,Super Lig,Right,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
234577,Diogo Costa,82,GK,,GK,23,Portugal,Porto,Liga Portugal,Right,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
240091,G. Vicario,82,GK,,GK,26,Italy,Tottenham Hotspur,Premier League,Right,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
224987,I. Provedel,82,GK,,GK,29,Italy,Lazio,Serie A,Right,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
219522,J. Ledesma,82,GK,,GK,30,Argentina,Cádiz,La Liga,Right,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
204935,J. Pickford,82,GK,,GK,29,England,Everton,Premier League,Left,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
235790,K. Havertz,82,CAM,"RW,ST",MID,24,Germany,Arsenal,Premier League,Left,78,79,79,83,45,68,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
223959,L. Torreira,82,CDM,CM,MID,27,Uruguay,Galatasaray,Super Lig,Right,76,70,77,80,79,78,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
230182,Lucas Mantela,82,GK,,GK,23,Brazil,Palmeiras,Serie A,Right,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
211738,M. Flekken,82,GK,,GK,30,Netherlands,Brentford,Premier League,Right,,,,,,,,GOOD,EXTERNAL_POOL,24,REGULAR_CAREER
